Item,Category,Responsibility,Weeks,Start,End
Category 1: Step 1,Category 1,All,6,11/20/2022,1/1/2023
Category 1: Step 2,Category 1,All,17,11/27/2022,3/26/2023
Category 1: Step 3,Category 1,All,13,12/11/2022,3/12/2023
Category 1: Step 4,Category 1,All,2,3/5/2023,3/19/2023
Category 1: Step 5,Category 1,All,1,3/19/2023,3/26/2023
Category 2: Step 1,Category 2,All,10,11/20/2022,1/29/2023
Category 2: Step 2,Category 2,All,10,11/20/2022,1/29/2023
Category 3: Step 1,Category 3,All,5,12/11/2022,1/15/2023
Category 3: Step 2,Category 3,All,4,12/25/2022,1/22/2023
Category 3: Step 3,Category 3,All,4,1/1/2023,1/29/2023
Category 4: Step 1,Category 4,Team 1,2,1/1/2023,1/15/2023
Category 4: Step 2,Category 4,Team 1,2,1/8/2023,1/22/2023
Category 4: Step 3,Category 4,Team 1,3,1/8/2023,1/29/2023
Category 4: Step 4,Category 4,Team 1,4,2/5/2023,3/5/2023
Category 5: Step 1,Category 5,Team 2,3,1/15/2023,2/5/2023
Category 5: Step 2,Category 5,Team 2,3,1/22/2023,2/12/2023
Category 5: Step 3,Category 5,Team 2,2,2/19/2023,3/5/2023
Category 6: Step 1,Category 6,Team 1,4,2/5/2023,3/5/2023
Category 6: Step 2,Category 6,Team 1,2,2/12/2023,2/26/2023
Category 6: Step 3,Category 6,All,3,2/12/2023,3/5/2023
Category 6: Step 4,Category 6,Team 1,2,2/26/2023,3/12/2023
Launch,Launch,All,1,4/23/2023,4/30/2023
